name,city,statenam,state,year,rincpc,econgrow,unemp,citypop,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,sworn,civil,elecyear,governor,term2,term3,termlim,mayor,murder,rape,robbery,assault,burglary,larceny,auto
atlanta,2,ga,10,1989,12.94918823,0.002935171,0.055329978,426482,0.078511417,0.073114574,0.069112778,0.072656155,0.081100225,0.101048052,67.04998779,23.25,784.6772461,236.2902832,1.239999771,0.355935303,0.077611716,1,0,0,0,1,1,0.057681215,0.162023251,1.593502188,2.138191061,4.033464484,10.00276682,2.702810435
atlanta,2,ga,10,1990,12.96424866,0.001162052,0.054499984,394017,0.079019308,0.072530866,0.067725837,0.071180522,0.080106616,0.101343274,67.09997559,23.3999939,826.3193359,254.7818604,1.306999207,0.398206169,0.092381801,0,1,0,0,1,0,0.058626912,0.176388328,1.550440717,2.299900766,3.938662545,8.380349071,2.831603713
atlanta,2,ga,10,1991,,,0.049999982,403085,0.07950294,0.071975052,0.066405356,0.069775581,0.079160571,0.10162431,67.14996338,23.54998779,801.4755859,301.8449707,,0.380316807,0.140913207,0,0,0,0,0,0,0.05085776,0.158279271,1.607353288,2.224592828,3.438728804,8.741828647,2.731681903
atlanta,2,ga,10,1992,,,0.068999946,410876,0.079963863,0.071445286,0.065146565,0.068436325,0.078258812,0.101892233,67.19995117,23.69999695,776.6318359,348.907959,,0.370914826,0.114876508,0,0,0,0,0,0,0.048189721,0.152600785,1.417459282,2.240822049,3.17979147,8.251394581,2.05682493
austin,3,tx,43,1970,9.353088379,0.020182848,0.044330001,254000,0.083745182,0.089785814,0.091982424,0.110378861,0.142229438,0.077704549,11.69999695,11.79999542,561.8554688,123.7113037,0.388000011,0.128346457,0.040551181,1,1,0,1,0,1,0.008661417,0.02992126,0.084645669,0.366535433,1.383858268,3.71023622,0.426377953
austin,3,tx,43,1971,9.446907043,0.009980917,0.049669981,266333.25,0.082263887,0.087213814,0.089099526,0.108980656,0.142501593,0.083023369,11.75,11.62999725,609.8764648,145.6789551,0.404999971,0.117897409,0.037546945,0,0,0,1,0,0,0.010137675,0.024780984,0.139674637,0.420150319,1.627284614,3.868837256,0.395369335
austin,3,tx,43,1972,9.947364807,0.051620007,0.045169979,273933,0.080913246,0.084868789,0.086471021,0.107705772,0.142749786,0.087872982,11.79999542,11.45999908,633.9711914,153.1099854,0.417999983,0.165368904,0.054392862,0,1,0,1,0,1,0.013872005,0.022633272,0.104040039,0.352640974,1.477003501,3.40740254,0.358116766
austin,3,tx,43,1973,10.4797287,0.052134991,0.038829982,287000,0.079676747,0.082721889,0.084064603,0.106538594,0.142976999,0.092312813,11.84999847,11.28999329,646.3959961,150.9008789,0.444000006,0.155400697,0.050522648,1,0,0,1,0,0,0.009059233,0.031358885,0.107665505,0.340766551,1.554703833,3.353658537,0.371428571
austin,3,tx,43,1974,10.45233154,-0.002617836,0.042919993,287061,0.078540504,0.080749035,0.081853271,0.105466068,0.143185735,0.096392751,11.8999939,11.11999512,636.9165039,135.9025879,0.492999792,0.160941403,0.061311011,0,1,0,1,0,1,0.012192531,0.05434385,0.148400514,0.164424983,1.930600116,3.977900168,0.386677396
austin,3,tx,43,1975,10.60408783,0.014414549,0.055749983,300400,0.077492774,0.078929901,0.079814255,0.104477108,0.143378258,0.100154757,11.94999695,10.94999695,674.7211914,135.6876221,0.53799963,0.148468708,0.06424767,0,0,0,1,0,0,0.010985353,0.063249001,0.176098535,0.15412783,2.085219707,4.475699068,0.415113182
austin,3,tx,43,1976,11.09313965,0.045087814,0.057419986,284908,0.076523662,0.077247143,0.077928126,0.103562295,0.143556237,0.103634655,12,10.77999878,750.4389648,152.8997803,0.568999767,0.15583978,0.065284232,1,0,0,1,0,1,0.008423772,0.06352928,0.181813077,0.168124447,2.241425302,5.356114956,0.438738119
austin,3,tx,43,1977,11.49339294,0.035445452,0.053579986,321900,0.075624526,0.075686097,0.076178312,0.102713585,0.143721461,0.106863022,12.04999542,10.60999298,719.4716797,155.1154785,0.605999947,0.137309724,0.073314694,0,0,0,1,0,0,0.010251631,0.058092575,0.159055607,0.164026095,2.250077664,4.285803044,0.384280833
austin,3,tx,43,1978,12.08435059,0.050138712,0.04817,331557,0.074788153,0.07423389,0.074550629,0.101924121,0.143875122,0.109866142,12.09999847,10.43999481,763.8032227,141.104248,0.65199995,0.138739342,0.059115024,0,1,0,1,0,1,0.010556254,0.058511809,0.191520613,0.165582389,2.076867628,4.547935951,0.404455343
